PORT_COD;PORT_NME;PORT_AREA_COD;PORT_AREA_NME;BERTH_COD;BERTH_NME
FIANK;Ankkurissa merellä;ANK;Ei tiedossa;unknow;Ei tiedossa
FIBRA;Brändö;MUU;Ei tiedossa;MUU;Ei tiedossa
FIHAL;Deactivated Halla;HAL;Halla;HAL2;Halla 2
FIHAL;Deactivated Halla;HAL;Halla;HAL1;Halla 1
FIHAL;Deactivated Halla;MUU;Ei tiedossa;MUU;Ei tiedossa
FIDRA;Dragsfjärd;MUU;Ei tiedossa;MUU;Ei tiedossa
FIECK;Eckerö;MUU;Ei tiedossa;MUU;Ei tiedossa
FIENK;Enonkoski;MUU;Ei tiedossa;MUU;Ei tiedossa
FIESP;Espoo;MUU;Ei tiedossa;MUU;Ei tiedossa
FIEJO;Eurajoki;OLKI;Olkiluoto;Olki 1;Olki 1
FIEJO;Eurajoki;MUU;Ei tiedossa;MUU;Ei tiedossa
FIFAR;Färjsund;MUU;Ei tiedossa;MUU;Ei tiedossa
FIFOG;Föglö;MUU;Ei tiedossa;MUU;Ei tiedossa
FIFOR;Förby;MUU;Ei tiedossa;MUU;Ei tiedossa
FIGDB;Godby;MUU;Ei tiedossa;MUU;Ei tiedossa
FIKTK;HaminaKotka;HAL;HALLA;U1;HALU1
FIKTK;HaminaKotka;HAL;HALLA;U2;HALU2
FIKTK;HaminaKotka;HIE;HIETANEN;H1;HIEH1
FIKTK;HaminaKotka;HIE;HIETANEN;H2;HIEH2
FIKTK;HaminaKotka;ANK;ANKKURISSA;KAUN;KAUNISSAARI
FIKTK;HaminaKotka;KAN;KANTASATAMA;K1;KANK1
FIKTK;HaminaKotka;KAN;KANTASATAMA;K2;KANK2
FIKTK;HaminaKotka;KAN;KANTASATAMA;K3;KANK3
FIKTK;HaminaKotka;KAN;KANTASATAMA;K4;KANK4
FIKTK;HaminaKotka;KAN;KANTASATAMA;K5;KANK5
FIKTK;HaminaKotka;KAN;KANTASATAMA;K6;KANK6
FIKTK;HaminaKotka;HOY;HÖYRYVOIMA;M2;HÖYM2
FIKTK;HaminaKotka;KAN;KANTASATAMA;K7;KANK7
FIKTK;HaminaKotka;KAN;KANTASATAMA;K8;KANK8
FIKTK;HaminaKotka;KAN;KANTASATAMA;N/A_K9;KANK9  (Ei käytössä)
FIKTK;HaminaKotka;KAN;KANTASATAMA;P1;KANP1
FIKTK;HaminaKotka;KAN;KANTASATAMA;P2;KANP2
FIKTK;HaminaKotka;EU;Konttisatama;EU2;EU2
FIKTK;HaminaKotka;EU;Konttisatama;EU3;EU3
FIKTK;HaminaKotka;OIL;Öljysatama;MUU;Ei tiedossa
FIKTK;HaminaKotka;OIL;Öljysatama;O1;Ö1
FIKTK;HaminaKotka;OIL;Öljysatama;O2;Ö2
FIKTK;HaminaKotka;OIL;Öljysatama;O3;Ö3
FIKTK;HaminaKotka;GAS;Kaasulaituri;MUU;Ei tiedossa
FIKTK;HaminaKotka;GAS;Kaasulaituri;FG;FG
FIKTK;HaminaKotka;HILLO;Hillo;MUU;Ei tiedossa
FIKTK;HaminaKotka;HILLO;Hillo;H1;H1
FIKTK;HaminaKotka;HILLO;Hillo;H2;H2
FIKTK;HaminaKotka;HILLO;Hillo;H3;H3
FIKTK;HaminaKotka;HILLO;Hillo;H4;H4
