EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0150201;1019;Tie 7 Porvoo;Tie 7 Kotkaan;7;8;3801;6695673;423740;Porvoo
C0150202;1019;Tie 7 Porvoo;Tie 7 Helsinkiin;7;8;3801;6695673;423740;Porvoo
C0150204;1019;Tie 7 Porvoo;Tie 55 Porvooseen;7;8;3801;6695673;423740;Porvoo
C0150209;1019;Tie 7 Porvoo;Tienpinta;7;8;3801;6695673;423740;Porvoo
C0150301;1013;Tie 51 Inkoo;Inkooseen;51;14;422;6661196;332763;Inkoo
C0150302;1013;Tie 51 Inkoo;Hankoon;51;14;422;6661196;332763;Inkoo
C0150309;1013;Tie 51 Inkoo;Tienpinta;51;14;422;6661196;332763;Inkoo
C0150401;1007;Tie 2 Karkkila;Forssaan;2;14;453;6714374;348343;Karkkila
C0150501;2018;Tie 52 Tenhola;Perniöön;52;2;5379;6664048;294261;Raasepori
C0150601;1025;Tie 25 Myllylampi;Tie 25 Hyvinkäälle;25;23;0;6689297;347589;Vihti
C0150602;1025;Tie 25 Myllylampi;Tie 25 Hankoon;25;23;0;6689297;347589;Vihti
C0150603;1025;Tie 25 Myllylampi;Tie 110 Turkuun;25;23;0;6689297;347589;Vihti
C0150604;1025;Tie 25 Myllylampi;Tie 110 Helsinkiin;25;23;0;6689297;347589;Vihti
C0150609;1025;Tie 25 Myllylampi;Tie 25 Tienpinta;25;23;0;6689297;347589;Vihti
C0150701;1014;Tie 25 Hanko;Tie 25 Hyvinkäälle;25;2;65;6640608;276239;Hanko
C0150801;1010;Tie 4 Mäntsälä;Tie 4 Lahteen;4;113;3850;6727340;409899;Mäntsälä
C0150802;1010;Tie 4 Mäntsälä;Tie 4 Helsinkiin;4;113;3850;6727340;409899;Mäntsälä
C0150803;1010;Tie 4 Mäntsälä;Tie 140 Lahteen;4;113;3850;6727340;409899;Mäntsälä
C0150804;1010;Tie 4 Mäntsälä;Tie 140 Helsinkiin;4;113;3850;6727340;409899;Mäntsälä
C0150809;1010;Tie 4 Mäntsälä;Tienpinta;4;113;3850;6727340;409899;Mäntsälä
C0150901;1020;Tie 3 Hyvinkää;Tie 3 Tampereelle;3;108;0;6716446;380437;Hyvinkää
C0150902;1020;Tie 3 Hyvinkää;Tie 3 Helsinkiin;3;108;0;6716446;380437;Hyvinkää
C0150903;1020;Tie 3 Hyvinkää;Tie 25 Mäntsälään;3;108;0;6716446;380437;Hyvinkää
C0150904;1020;Tie 3 Hyvinkää;Tie 25 Hankoon;3;108;0;6716446;380437;Hyvinkää
C0150909;1020;Tie 3 Hyvinkää;Tie 3 Tienpinta;3;108;0;6716446;380437;Hyvinkää
C0151001;1032;Tie 110 Oinola;Turkuun;110;17;3021;6698390;329418;Lohja
C0151002;1032;Tie 110 Oinola;Helsinkiin;110;17;3021;6698390;329418;Lohja
C0151009;1032;Tie 110 Oinola;Tienpinta;110;17;3021;6698390;329418;Lohja
C0151101;1036;Tie 45 Veromies;Tuusulaan;45;3;80;6685325;388401;Vantaa
C0151102;1036;Tie 45 Veromies;Helsinkiin;45;3;80;6685325;388401;Vantaa
C0151104;1036;Tie 45 Veromies;Kehä III Länteen;45;3;80;6685325;388401;Vantaa
C0151109;1036;Tie 45 Veromies;Tienpinta;45;3;80;6685325;388401;Vantaa
C0151301;1034;Tie 101 Pakila;Kehä I Itään;101;7;0;6680401;386426;Helsinki
C0151302;1034;Tie 101 Pakila;Kehä I Länteen;101;7;0;6680401;386426;Helsinki
C0151303;1034;Tie 101 Pakila;Tie 45 Tuusulaan;101;7;0;6680401;386426;Helsinki
C0151309;1034;Tie 101 Pakila;Tie 45 Tienpinta;101;7;0;6680401;386426;Helsinki
C0151401;1011;Tie 7 Box;Porvooseen;7;6;1250;6687583;412221;Sipoo
C0151402;1011;Tie 7 Box;Helsinkiin;7;6;1250;6687583;412221;Sipoo
C0151409;1011;Tie 7 Box;Tienpinta;7;6;1250;6687583;412221;Sipoo
C0151800;1045;Tie 51 Lauttasaari;;51;2;950;6671468;381199;Helsinki
C0151900;1045;Tie 51 Espoo, Karhusaari;;51;3;0;6672258;379220;Espoo
C0152000;1045;Tie 51 Ruoholahti;;51;2;0;6671667;382481;Helsinki
C0152101;1034;Tie 101 Turvesuontie;Itään;101;2;2950;6675573;378450;Espoo
C0152102;1034;Tie 101 Turvesuontie;Länteen;101;2;2950;6675573;378450;Espoo
C0152109;1034;Tie 101 Turvesuontie;Tienpinta;101;2;2950;6675573;378450;Espoo
C0152201;1034;Tie 101 Kalevalantie;Itään;101;2;1600;6674242;378477;Espoo
C0152202;1034;Tie 101 Kalevalantie;Länteen;101;2;1600;6674242;378477;Espoo
C0152209;1034;Tie 101 Kalevalantie;Tienpinta;101;2;1600;6674242;378477;Espoo
C0152301;1004;Tie 4 Tattarisuo;Lahteen;4;103;1574;6680525;392650;Helsinki
C0152302;1004;Tie 4 Tattarisuo;Helsinkiin;4;103;1574;6680525;392650;Helsinki
C0152309;1004;Tie 4 Tattarisuo;Tienpinta;4;103;1574;6680525;392650;Helsinki
C0152401;1051;Tie 51 Jorvas;Inkooseen;51;8;1480;6668886;361756;Kirkkonummi
C0152402;1051;Tie 51 Jorvas;Helsinkiin;51;8;1480;6668886;361756;Kirkkonummi
C0152403;1051;Tie 51 Jorvas;Tie 11277 Långvikiin;51;8;1480;6668886;361756;Kirkkonummi
C0152404;1051;Tie 51 Jorvas;Tie 11277 Jorvakseen;51;8;1480;6668886;361756;Kirkkonummi
C0152409;1051;Tie 51 Jorvas;Tienpinta;51;8;1480;6668886;361756;Kirkkonummi
C0152600;1051;Tie 1 Lommila;;1;6;0;6678247;369559;Espoo
C0152700;1043;Tie 1 Hista;;1;7;0;6681090;365320;Espoo
