TIEJAKSO_ID;TIENUMERO;TIEJAKSO;TIEJAKSO_VERSIO;SELITE1;SELITE2;TIE;AOSA;AET;LOSA;LET;PITUUS
00001_001_000_0;1;1;0;Vt 1;Helsinki - Kehä III;1;1;0;5;6769;19765
00001_006_000_0;1;6;0;Vt 1;Kehä III - Nummela;1;6;0;8;5559;18159
00001_009_000_0;1;9;0;Vt 1;Nummela - Lohjanharju;1;9;0;11;6265;14777
00001_012_000_0;1;12;0;Vt 1;Lohjanharju - Suomusjärvi;1;12;0;18;5490;32296
00001_019_000_0;1;19;0;Vt 1;Suomusjärvi - Muurla;1;19;0;21;7551;17310
00001_022_000_0;1;22;0;Vt 1;Muurla - Hajala;1;22;0;26;6745;23066
00001_027_000_0;1;27;0;Vt 1;Hajala - Paimio;1;27;0;29;2960;14374
00001_030_000_0;1;30;0;Vt 1;Paimio - Turku;1;30;0;36;2785;24351
00002_001_000_0;2;1;0;Vt 2;Nummela - Karkkila;2;1;0;13;3365;29156
00002_014_000_0;2;14;0;Vt 2;Karkkila - Salkola;2;14;0;19;2003;25186
00002_020_000_0;2;20;0;Vt 2;Salkola - Humppila;2;20;0;27;3791;44706
00002_028_000_0;2;28;0;Vt 2;Humppila - Huittinen;2;28;0;35;5441;44112
00002_036_000_0;2;36;0;Vt 2;Huittinen - Harjavalta;2;36;0;43;1863;33547
00002_043_000_0;2;43;0;Vt 2;Harjavalta - Pori;2;43;1863;47;7182;29735
00002_048_000_0;2;48;0;Vt 2;Pori - Mäntyluoto;2;48;0;51;1475;16736
00003_101_000_0;3;101;0;Vt 3;Helsinki - Kehä I;3;101;0;101;5432;5475
00003_101_001_0;3;101;1;Vt 3;Kehä I - Klaukkala;3;101;5432;103;7468;14367
00003_104_000_0;3;104;0;Vt 3;Klaukkala - Hyvinkää;3;104;0;107;5886;24219
00003_108_000_0;3;108;0;Vt 3;Hyvinkää - Riihimäki;3;108;0;111;3532;22039
00003_110_000_0;3;110;0;Vt 3;Riihimäki - Hämeenlinna;3;112;0;115;7670;28919
00003_116_000_0;3;116;0;Vt 3;Hämeenlinna - Akaa;3;116;0;123;3620;44971
00003_123_000_0;3;123;0;Vt 3;Akaa - Tampere;3;123;3620;135;5038;30418
00003_136_000_0;3;136;0;Vt 3;Tampere - Ylöjärvi;3;136;0;139;5862;21000
00003_203_000_0;3;203;0;Vt 3;Ylöjärvi - Hämeenkyrö;3;203;0;206;2990;22833
00003_207_000_0;3;207;0;Vt 3;Hämeenkyrö - Parkano;3;207;0;215;8080;46275
00003_216_000_0;3;216;0;Vt 3;Parkano - Jalasjärvi;3;216;0;228;1378;62151
00003_229_000_0;3;229;0;Vt 3;Jalasjärvi - Koskenkorva;3;229;0;236;2188;28821
00003_237_000_0;3;237;0;Vt 3;Koskenkorva - Laihia;3;237;0;245;1680;42206
00003_246_000_0;3;246;0;Vt 3;Laihia - Vaasa;3;246;0;252;4489;24622
00004_101_000_0;4;101;0;Vt 4;Helsinki - Kehä I;4;101;0;102;4353;12001
00004_103_000_0;4;103;0;Vt 4;Kehä I - Järvenpää;4;103;0;107;7519;25508
00004_108_000_0;4;108;0;Vt 4;Järvenpää - Mäntsälä;4;108;0;111;4719;21855
00004_112_000_0;4;112;0;Vt 4;Mäntsälä - Lahti;4;112;0;120;6245;45773
00004_201_000_0;4;201;0;Vt 4;Lahti - Heinola;4;201;0;210;3508;42720
00004_211_000_0;4;211;0;Vt 4;Heinola - Joutsa;4;211;0;220;4539;54890
00004_221_000_0;4;221;0;Vt 4;Joutsa - Toivakka;4;221;0;227;4543;37365
00004_228_000_0;4;228;0;Vt 4;Toivakka - Jyväskylä;4;228;0;233;5863;28861
00004_301_000_0;4;301;0;Vt 4;Jyväskylä - Äänekoski;4;301;0;308;4292;42033
00004_309_000_0;4;309;0;Vt 4;Äänekoski - Viitasaari;4;309;0;318;4454;56365
00004_319_000_0;4;319;0;Vt 4;Viitasaari - Elämäjärvi;4;319;0;328;6458;51632
00004_329_000_0;4;329;0;Vt 4;Elämäjärvi - Pyhäjärvi;4;329;0;334;5832;31114
00004_335_000_0;4;335;0;Vt 4;Pyhäjärvi - Kärsämäki;4;335;0;342;3026;33457
00004_343_000_0;4;343;0;Vt 4;Kärsämäki - Pulkkila;4;343;0;349;6760;32384
00004_350_000_0;4;350;0;Vt 4;Pulkkila - Temmes;4;350;0;359;7028;55273
00004_360_000_0;4;360;0;Vt 4;Temmes - Oulu;4;360;0;367;5121;34812
00004_401_000_0;4;401;0;Vt 4;Oulu - Haukipudas;4;401;0;406;4358;23067
00004_407_000_0;4;407;0;Vt 4;Haukipudas - Kuivaniemi;4;407;0;416;7014;48027
00004_420_000_0;4;420;0;Vt 4;Kuivaniemi - Kemi;4;417;0;424;3552;31814
00004_425_000_0;4;425;0;Vt 4;Kemi - Keminmaa;4;425;0;426;7900;13059
00004_428_000_0;4;428;0;Vt 4;Keminmaa - Tervola;4;428;0;435;2605;34187
00004_437_000_0;4;437;0;Vt 4;Tervola - Muurola;4;437;0;445;6617;46778
00004_446_000_0;4;446;0;Vt 4;Muurola - Rovaniemi;4;446;0;448;7848;21125
00004_449_000_0;4;449;0;Vt 4;Rovaniemi - Rovaniemen lentoasema;4;449;0;502;4298;10132
00004_503_000_0;4;503;0;Vt 4;Rovaniemen lentoasema - Tiainen;4;503;0;511;4969;51387
00004_512_000_0;4;512;0;Vt 4;Tiainen - Sodankylä;4;512;0;523;8215;70585
00004_525_000_0;4;525;0;Vt 4;Sodankylä - Madetkoski;4;525;0;534;8300;59908
00004_536_000_0;4;536;0;Vt 4;Madetkoski - Saariselkä;4;536;0;548;4467;69905
00004_549_000_0;4;549;0;Vt 4;Saariselkä - Ivalo;4;549;0;553;7090;29894
00004_554_000_0;4;554;0;Vt 4;Ivalo - Kaamanen;4;554;0;566;7667;71069
00004_567_000_0;4;567;0;Vt 4;Kaamanen - Utsjoki;4;567;0;582;5876;93238
00005_113_000_0;5;113;0;Vt 5;Heinola - Vihantasalmi;5;113;0;119;2525;39013
00005_119_000_0;5;119;0;Vt 5;Vihantasalmi - Mikkeli;5;119;2525;128;1766;43242
00005_129_000_0;5;129;0;Vt 5;Mikkeli - Juva;5;129;0;136;2923;40015
00005_137_000_0;5;137;0;Vt 5;Juva - Varkaus;5;137;0;146;3843;47821
00005_147_000_0;5;147;0;Vt 5;Varkaus - Vehmasmäki;5;147;0;156;2630;50662
00005_156_000_0;5;156;0;Vt 5;Vehmasmäki - Kuopio;5;156;2630;160;3023;22687
00005_201_000_0;5;201;0;Vt 5;Kuopio - Siilinjärvi;5;201;0;205;6730;21644
00005_206_000_0;5;206;0;Vt 5;Siilinjärvi - Lapinlahti;5;206;0;213;2459;36872
00005_214_000_0;5;214;0;Vt 5;Lapinlahti - Iisalmi;5;214;0;218;4165;31005
00005_219_000_0;5;219;0;Vt 5;Iisalmi - Sukeva;5;219;0;225;5969;30559
00005_226_000_0;5;226;0;Vt 5;Sukeva - Kajaani;5;226;0;235;2160;48662
00005_301_000_0;5;301;0;Vt 5;Kajaani - Ristijärvi;5;301;0;311;4366;43015
00005_312_000_0;5;312;0;Vt 5;Ristijärvi - Suomussalmi;5;312;0;324;4104;63339
00005_326_000_0;5;326;0;Vt 5;Suomussalmi - Peranka;5;326;0;337;7975;66037
00005_339_000_0;5;339;0;Vt 5;Peranka - Kuusamo;5;339;0;355;6121;72963
00005_356_000_0;5;356;0;Vt 5;Kuusamo - Ruka;5;356;0;361;4641;25253
00005_362_000_0;5;362;0;Vt 5;Ruka - Maaninkavaara;5;362;0;370;5588;49601
00005_371_000_0;5;371;0;Vt 5;Maaninkavaara - Kemijärvi;5;371;0;401;2940;68645
00005_402_000_0;5;402;0;Vt 5;Kemijärvi - Vuostimo;5;402;0;407;5995;30788
00005_408_000_0;5;408;0;Vt 5;Vuostimo - Sodankylä;5;408;0;420;6148;75410
00006_116_000_0;6;116;0;Vt 6;Koskenkylä - Elimäki;6;116;0;125;6244;40534
00006_126_000_0;6;126;0;Vt 6;Elimäki - Kouvola;6;126;0;130;2561;24488
00006_201_000_0;6;201;0;Vt 6;Kouvola - Luumäki;6;201;0;208;7704;49192
00006_209_000_0;6;209;0;Vt 6;Luumäki - Lappeenranta;6;209;0;302;5057;42240
00006_303_000_0;6;303;0;Vt 6;Lappeenranta - Imatra;6;303;0;311;4275;39746
00006_312_000_0;6;312;0;Vt 6;Imatra - Parikkala;6;312;0;323;3760;56357
00006_324_000_0;6;324;0;Vt 6;Parikkala - maakuntaraja;6;324;0;328;3461;21081
00006_329_000_0;6;329;0;Vt 6;Maakuntaraja - Kitee;6;329;0;336;5904;41489
00006_337_000_0;6;337;0;Vt 6;Kitee - Onkamo;6;337;0;342;5181;28490
00006_343_000_0;6;343;0;Vt 6;Onkamo - Joensuu;6;343;0;350;2631;40635
00006_401_000_0;6;401;0;Vt 6;Joensuu - Kontiolahti;6;401;0;403;6401;19981
00006_404_000_0;6;404;0;Vt 6;Kontiolahti - Juuka;6;404;0;413;3808;63851
00006_414_000_0;6;414;0;Vt 6;Juuka - Nurmes;6;414;0;418;8519;38813
00006_419_000_0;6;419;0;Vt 6;Nurmes - Maanselkä;6;419;0;424;8603;45705
00006_425_000_0;6;425;0;Vt 6;Maanselkä - Vuokatti;6;425;0;432;4165;32751
00006_433_000_0;6;433;0;Vt 6;Vuokatti - Kajaani;6;433;0;438;5325;27008
00007_001_000_0;7;1;0;Vt 7;Helsinki - Porvoo;7;1;0;8;3836;35368
00007_009_000_0;7;9;0;Vt 7;Porvoo - Koskenkylä;7;9;0;14;3819;23748
00007_015_000_0;7;15;0;Vt 7;Koskenkylä - Pyhtää;7;15;0;23;6423;35418
00007_024_000_0;7;24;0;Vt 7;Pyhtää - Kotka;7;24;0;28;833;18873
