NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23117;117;L_vt1_Munkkiniemi;Tie 1 Munkkiniemi;Väg 1 Munksnäs;Road 1 Munkkiniemi;1;3;500;6675908;382080;0;Uusimaa
23103;103;L_vt1_Huopalahti;Tie 1 Huopalahti;Väg 1 Hoplax;Road 1 Huopalahti;1;3;2210;6676244;380439;0;Uusimaa
23144;144;L_vt1_Friisinmäki;Tie 1 Friisinmäki;Väg 1 Frisbacka;Road 1 Friisinmäki;1;4;1200;6676527;377730;0;Uusimaa
23167;167;L_vt1_Sepänkylä;Tie 1 Sepänkylä;Väg 1 Smedsby;Road 1 Sepänkylä;1;5;900;6676185;374799;0;Uusimaa
23175;175;L_vt1_Lommila;Tie 1 Espoo, Lommila;Väg 1 Esbo, Lommila;Road 1, Espoo, Lommila;1;5;5820;6677702;370424;0;Uusimaa
23139;139;L_vt1_Nupuri;Tie 1 Nupuri;Väg 1 Nupurböle;Road 1 Nupuri;1;6;2930;6679497;367058;0;Uusimaa
23191;191;L_vt1_Kolmiranta;Tie 1 Espoo, Kolmiranta;Väg 1 Esbo, Kolmiranta;Road 1 Espoo, Kolmiranta;1;7;4030;6682714;361701;0;Uusimaa
23192;192;L_vt1_Veikkola;Tie 1 Veikkola;Väg 1 Veikkola;Road 1 Veikkola;1;8;2638;6686176;357185;0;Uusimaa
23104;104;L_vt1_Palojärvi;Tie 1 Palojärvi;Väg 1 Palojärvi;Road 1 Palojärvi;1;9;1058;6686926;353186;0;Uusimaa
23193;193;L_vt1_Hevoskallio;Tie 1 Hevoskallio;Väg 1 Hevoskallio;Road 1 Hevoskallio;1;10;2100;6688221;348231;0;Uusimaa
23194;194;L_vt1_Lehmijärvi;Tie 1 Lohja, Lehmijärvi;Väg 1 Lojo, Lehmijärvi;Road 1 Lohja, Lehmijärvi;1;11;3797;6686870;342934;0;Uusimaa
24607;1607;L_vt1_Karnainen;Tie 1 Karnainen;Väg 1 Karnais;Road 1 Karnainen;1;12;2234;6687149;338543;0;Uusimaa
24606;1606;L_vt1_Pitkämäki;Tie 1 Pitkämäki;Väg 1 Pitkämäki;Road 1 Pitkämäki;1;14;2233;6691946;330789;0;Uusimaa
24605;1605;L_vt1_Hauklampi;Tie 1 Hauklampi;Väg 1 Hauklampi;Road 1 Hauklampi;1;15;3515;6696360;327489;0;Uusimaa
23106;106;L_vt2_Huhmari;Tie 2 Huhmari;Väg 2 Huhmari;Road 2 Huhmari;2;1;3767;6688796;353330;0;Uusimaa
23122;122;L_vt2_Karkkila;Tie 2 Karkkila;Väg 2 Högfors;Road 2 Karkkila;2;15;5038;6718596;344047;0;Uusimaa
23164;164;L_vt3_Kivihaka;Tie 3 Kivihaka;Väg 3 Stenhagen;Road 3 Kivihaka;3;101;2700;6676863;383747;0;Uusimaa
23152;152;L_vt3_Pirkkola;Tie 3 Pirkkola;Väg 3 Britas;Road 3 Pirkkola;3;101;4400;6678474;383857;0;Uusimaa
23165;165;L_vt3_Hakuninmaa;Tie 3 Hakuninmaa;Väg 3 Håkansåker;Road 3 Hakuninmaa;3;101;8550;6682238;382554;0;Uusimaa
23107;107;L_vt3_Kaivoksela;Tie 3 Kaivoksela;Väg 3 Gruvsta;Road 3 Kaivoksela;3;102;799;6683225;382384;0;Uusimaa
23137;137;L_vt3_Keimola;Tie 3 Keimola;Väg 3 Käinby;Road 3 Keimola;3;103;4180;6689682;379810;0;Uusimaa
23108;108;L_vt3_Karhunkorpi;Tie 3 Karhunkorpi;Väg 3 Karhunkorpi;Road 3 Karhunkorpi;3;106;4555;6708633;382006;0;Uusimaa
23154;154;L_vt4_Viikinmäki;Tie 4 Viikinmäki;Väg 4 Viksbacka;Road 4 Viikinmäki;4;102;1000;6677716;388568;0;Uusimaa
23109;109;L_vt4_Jakomäki;Tie 4 Jakomäki;Väg 4 Jakobacka;Road 4 Jakomäki;4;103;2500;6681366;393115;0;Uusimaa
23110;110;L_vt4_Mäntsälä;Tie 4 Mäntsälä;Väg 4 Mäntsälä;Road 4 Mäntsälä;4;110;4543;6718426;403180;0;Uusimaa
23998;998;L_vt4_Mäntsälä_E;Tie 4 Mäntsälä, etelä;Väg 4 Mäntsälä, söder;Road 4 Mäntsälä, south;4;111;1000;6719385;403987;0;Uusimaa
